id,location,mode,required_skills,description
p127,Noida,DIGITAL,Good Programming Skills,"<p>Currently we have a lot of applications which are hosted in project servers. As part of Modernization to new technology solutions the project plan is to migrate all these on premise applications to Azure PaaS for improve manageability, reliability in operations You will work as a Developer and Technical Designer to migrate existing application in Cloud. Under direction from SME and technical architects to implement create proof-of-concepts to demonstrate viability of solutions under consideration. Ensure that all cloud solutions follow security and compliance controls, including data sovereignty It will help to develop knowledge of cloud infrastructure services Unique Selling Proposition (USP) of The Role - To interact directly with SMEs and work in an environment full of learning opportunities.</p>
"
p128,Noida,DIGITAL,Good Programming Skills,"<p>As part of the work you will develop new templates/tools to improve internal communication in workplace. You will need to organize a campaign based on the requirement from marketing manager You will need to research in the current market trends You will need to liaise with Marketing team to develop a strong understanding of requirements and objectives. You will need to provide ideas that can be used across various platforms to support campaigns You will need to be confident enough to share and sell your ideas You will need to have impressive conceptual outlook and ability to produce original ideas You will need to drive the campaign for 50 users. Unique Selling Proposition (USP) of The Role To interact with senior leadership team (Client Partner)develop templates in digital tooling</p>
"
p129,Noida,DIGITAL,Exposure to tableau or any other visualization tool can be an added advantage.,"<p>&middot; Contribute to the development and implementation of IoT tool and learn to apply those statistical and analytical techniques to deliver data driven insights and support business objectives. &middot; Broaden knowledge and application of modeling techniques and procedures. &middot; Support preparation of internal/external, structured/unstructured data sets to build/rebuild/refresh predictive models. &middot; Under direction, use appropriate modeling techniques to address business needs.&middot; Contribute to the development and implementation of predictive analytic and learn to apply those statistical and analytical techniques to deliver data driven insights and support business objectives. &middot; Broaden knowledge and application of modeling techniques and procedures. &middot; Support preparation of internal/external, structured/unstructured data sets to build/rebuild/refresh predictive models. &middot; Under direction, use appropriate modeling techniques to address business needs.</p>
"
p130,Pune,PHYGITAL,"Azure,DotNet,Data Modeling","<p>XYZ is a digital platform which allows business representatives to view critical information on the go and make informed decision on his fingertips. This project is to improve the time to implement changes at faster pace, while not compromosing on the quality of the product. This project aims to use cloud solution powered by Microsoft Azure platform and market leading DevOps tools to increase the frequency of releases to 4 per month from existing 1 per month.</p>
"
p133,Hyderabad,PHYGITAL,Any Programming SkillS,"<p>Using the various Analyst reports from the Industry as well as IT Analyst report (From Gartner, IDC, Forrester etc. ) come up with the future trends of the HR Industry and how the changing scenarios of the industry will lead the change in the Marketing processes in companies across various geographies. Some of the frameworks to be used can be SWOT, BCG Matrix etc. for coming up with the Digital Marketing portfolio for the industry. Service analysis and how each of these businesses (Temp Staffing, Permanent placement, MSP, RPO, Outplacement, Talent management, Consulting) look like. In depth industry landscaping (by placing the key players and their current technology and Digital Marketing Maturity) including their future roadmap on how they would go about creating initiatives (internally and with external support) to boost their Sales and generate additional revenue and better margins with the help of marketing technology and marketing operations. Create a detailed user / client journey for the different kinds of player within the industry (staffing companies, HR Tech companies, outplacement companies etc.) and come up with how digital marketing can improve the various stages of the journey to save cost or generate revenue. Create a Digital Marketing portfolio of tools and solutions which can help the industry players in optimizing and improving the existing performance or creating better sales pipeline.</p>
"
p134,Hyderabad,PHYGITAL,Any Programming SkillS,"<p>This projects is primarily to analyze various applications that are in Live today for customer. This assignment will bring intelligent way of monitoring , analyzing and reacting on the key activities to the individuals to ensure that applications assure scalability, security, reliability and availablility. In this assignment we will introduce Application Monitoring tools to the associates which helps in monitoring both onPremise and Cloud based applications. Application health check in Automated way is the prime objective of this assignment. Associates have to learn App Insights Tools in the market and then apply them in real environment to monitor the applications always</p>
"
p135,Hyderabad,PHYGITAL,"C#,Asp.Net ","<p>Today most of the Organization have physical environments and using many Software to connect the departments. This project aims at leveraging Modern workplace where the key aspects are transforming traditional work environment to a Digital workplace where associates can collaborate, share content, connect with groups, chat to quickly act on given tasks. Also it is to leverage the Apps in store to serve better like Calendar, Teams, Contacts, Schedule and project Planning. Its important to connect with teams globally at any time. This Project helps at such interactive Digital workplace Platform for employees in Organization with a concept of connect the Dots in collaborative mode</p>
"
p137,Chennai,DIGITAL,"Java,Angular JS","<p>Robotics Process Automation is fast catching up in areas where heavy manual work is involved. It helps in automating repeatable activities and also bringing down the manual errors to almost nil. Considering this, the TCS project team who deal with several requests for manual test data creation have come up with a proposal to create a bot which can automatically process input requests for test data generation and create test data, and send an update to the requestor. The requestor places a request in a self-service portal which has to be built using Java.</p>
"
p138,Hyderabad,PHYGITAL,"Java,Database Exposure","<p>Project Description: Team need to develop portal for patient registration and for appointment scheduling. User should be able to login to the application with defined authentication and authorization. Develop Angular screens for the mentioned requirements(patient registration and schedule appointment functionalities) Server side to done using Spring boot microservices Develop command and query services to achieve mentioned requirements using Spring and Cassandra DB Swagger contracts to be published Role: Development and QA</p>
"
p139,Hyderabad,PHYGITAL,"Basic idea of Image and Video Analytic,Basic Programming knowledge","<p>Computer Vision is an emerging space which has potential to completely transform every aspect of our lives and make science fiction a reality. Automotive industry has been looking at leveraging Computer vision to significantly improve safety on the road. For example, lets consider a vehicle being driven at 40 mph and the driver needs to adjust the volume of the radio, or even change the channel, which might take the driver&rsquo;s eyes away for about 1.2 seconds. A car traveling at that speed will cover more than 20 meters in 1.2 seconds, opening possible corridors for a mishap just waiting to happen. Controlling multiple devices while driving steals drivers&#39; attention from the road and is becoming the cause of accidents in 1 out of 3 cases. So, to counter this issue, Touch-less automotive gesture-recognition technology could come into play here, whereby a driver can swiftly adjust any settings with the help of certain standard hand gestures. Hence, Gesture control makes it easier to use built-in systems, and reduces the probability of causing a distraction-related accident by enabling drivers to better keep their eyes on the road. Ultimately, this project aims to develop a dynamic hand gesture recognition system to control an infotainment system inside a car. Features : to work irrespective of the illumination inside a car (Dark for most of the cases) Use various advanced learning methods for better classification accuracy and unambiguity.</p>
"
p140,Hyderabad,PHYGITAL,"Basic edge board programming skills,Node js/python,ports configuration and data reading","<p>Trending word in current technology domain is &quot;Smart&quot; in latest techologies like IoT, Machine learning and AI. Companies are looking for smart and automated ways to manage presence of assets and people in an area/zone with least intrusion. Design a sensor based attendance system to identify when a particualar person enters a specific zone and a specific part of that zone. Use an appropriate tracking technology like RFID, BLE. A mobile app shall be used for the user to configure the sensors and track the user presence at a particular location.</p>
"
p141,Hyderabad,PHYGITAL,"react.js,Javascript,HTML 5 and CSS3","<p>5G mobile networks experience massive amounts of data every second. 5G market and technology landscape also became very complex. Network services and automation are crucial to the evolution of 5G, IoT and industrial digitization. As 5G-enabled technologies develop, operators will need to increase their network capacity. But with additional capacity, comes additional complexity. To meet these new challenges, we are combining AI/ML(machine learning) to enable to manage 5G networks and deliver optimal user experience. Using AI in 5G Network needs bandwidth and latency includes managing Next-gen 5G Networks. As 5G Networks will be primarily installed in Data Centers with virtual infrastructure and network functions traditional network telemetry and analytics solutions is not suitable for virtual architectures. We are addressing that also with the metadata telemetry updates at the data plane.</p>
"
p149,Hyderabad,PHYGITAL,"Image Processing,Deep Learning Python, Tensorflow/pytorch","<p>Handwritten signatures have been an integeral part of authorization in the world since a very long time. Today, even with the advent of technology and biometrics, signatures still are widely used in places like banks, government offices etc. The goal of this project is to develop a ML based Signature recognizer using Computer vision and video analytics that can identify whether a signature is genuine or forged</p>
"
p151,Hyderabad,PHYGITAL,ML/DL,"<p>In today&#39;s world recognizing human action is a significant usecase in various domains especially in the area of video surveillance, sentimmental analysis leveraging computer imaging. Implementing the solutions has challenges since human motions are varied and noisy feeds make it complicaed to identify the actions accurately. The idea of this project is to create a solution that will analyze image/video feeds and identify human actions accurately using Machine learning/Deep Learning and Video Analytics.</p>
"
p153,Hyderabad,PHYGITAL,Good Programming Skills,"<p>In Today digital disruption, Cloud is playing a major role. Everyone in the industry is adapting Cloud technologies to gain the benefits . After migrating services to Cloud, the major challenge is to sustain applications services with respect to continuity, high availability, security, performance. Hence, there is a need for industry to focus on these areas to help the Cloudees(Users of Cloud) and Clouders(Providers) have a smooth handshake in meeting the SLAs and in-turn the business goals. Our project focuses at solving this problem area, The focus of this project is developing an algorithm that will identify alarms at different layers and then correlate these alarms to identify a root cause for the problem.</p>
"
p154,Hyderabad,PHYGITAL,Good Programming Skills,"<p>Autonomous vehicles are set to disrupt the way humans travel in the future. Companies like Tesla , Google , Uber, Amazon etc have already started levaraging the technological advancements to develop their own autonomous vehicles. But in order to navigate without human intervention these cars use perception of the environemnt continuously to detect objects surrounding them. Identification of features from different time periods will aid in developing vehicle navigation algorithms. Identification of different traffic participants helps in predicting their dynamic behaviour. Tracking and prediction of participant movement will additionally assist drivers in non autonomous vehicles. Project will involve processing and extraction of useful information on objects surrounding the vehicles using the depth data obtained from 3D sensors. These sensors are standardly present in the Autonomous vehicles. Primary task will require a clear separation of objects from ground and also clear differentiation between two objects. This project involves working on the graphical representation and visualization of the surrounding environment using OpenGL/VTK. Then proceed with applying/developing perception and navigation algorithms using ROS and PCL. Experimental Data will be taken from the standard public repositories for creating the models.</p>
"
p155,Hyderabad,PHYGITAL,Good Programming Skills ,"<p>The project aims at developing a solution for multicore /GPU multiprocessing architecture to analyse high performance application for Nvidia and AMD targets.The solution should be capable of running on multiple GPU systems or on a distributted parallel processing CPU. The key aspect of the solution should include 1) The GPUs used could be Heterogenous (having misture of different make GPU) or homogenous (same GPUs). 2) The GPU should be from AMD or Nvidia. 3) The standard Benchmarking tools shouldn&rsquo;t be used , instead the benchmarking tool will be designed in house. 4) The program should be written using CUDA and OpenCL and python.</p>
"
p156,Hyderabad,PHYGITAL,Good Programming Skills,"<p>The current AI/ML applications although sophisticated still take a lot of cpu utilization and consume more power.Thus enthusiasts generally find it difficult to run AI/ML application on low power edge devices like mobile phones.This project tries to address this problem through kernel optimization.The optimization of kernel will actually help AI/ML apps to run quickly consuming less cpu cycles on the edge devices. The various aspects of the solution are - Kernel quantization, Compiler optimization and memory optimization are some techniques which will be a part this optimization. - Target device should be Snapdragon 835 board - AI/ML framework should be Tensor Flow lite.</p>
"
p157,Hyderabad,PHYGITAL,AI/ML Basics,"<p>Artificial Intelligence (AI) and Augmented Reality (AR) are the trending technologies in the world. Such has been their footprint that they find usecases in almost every sector present today. Similarly for network companies, AI and AR work together to improve processes and increase efficiency. Installation,configuration and maintenance are time consuming activities and require experienced support staff. But Artificial Intelligence (AI) based Augmented Reality (AR) assistant Android App can help guide the semi skilled service personnel in identifying and understanding/providing the details of network switch port&#39;s across network switches. This helps the personnel to quickly carryout the required operation. The associate need to work on different optimizations techniques for the various data models using various machine learning and deep learning algorithms like Tensorflow Lite and DLC models. other technologies involved are Google AR Core and Android etc.</p>
"
p158,Hyderabad,PHYGITAL,Good Programming Skills,"<p>Applications nowadays are migrating to microservice architecture. Microservices enable the rapid, frequent and reliable delivery of large, complex applications. They also solve scalability and innovation challenges when compared with monolith application. This architecture facilitates creation of a small, loosely coupled distributed service. And instead of running these small applications on single machine or Virtual machine, it is distributed into different containers (like docker). Develop a solution which can recover the microservice application(running in different docker containers) from chaos condition. Application need to have capability to monitor the docker applications and in case of crash of application or docker container, it should able to relaunch the docker container to recover the service from failure.To test real life random scenerios, Resilience testing application (like chaos monkey) are used which can create a chaos condition.</p>
"
p159,Hyderabad,PHYGITAL,"Cloud knowledge,Analytical skills","<p>This project caters to the organizational need of a flexible and extensible monitoring solution that can offer comprehensive view of the health of organization&#39;s critical infrastructure. When implemented the solution will result in increased operational efficiency and cost savings. The solution will require you to capture real time infrastructural data from cloud , analyze the data and generate actionable insights on the dashboard. It should also trigger an SMS/Email alert incase of any discrepency. The solution should also have the capability to automatically migrate Hadoop infrastructure to cloud.</p>
"
p160,Hyderabad,PHYGITAL,Analytical skills,"<p>The goal of this project is to create a report that analyzes a commerce application and captures user login data. The reports will help businesses understand user adoption and target relevant customers. The reports would provide information like number of unique users logged into system per day, what users have accessed which business reports etc. The following will be the process flow to generate the reports - Login information for each user is being captured in log files. - The data is to be parsed using Logstash. - The parsed data would be pushed into Elastic Search cluster. - Data would then be mapped to different fields like user id, login timestamp, accessed report name. - Kibana would read the login data present in ES cluster and generate graphical reports on UI</p>
"
p161,Hyderabad,PHYGITAL,Good Programming Skills,"<p>This project requires you to create a verification script to verify the data between these two databases and check for any anamolies. Mongo DB is one of the source databases that stores ordering information. This data is synced into Cassandra DB on daily basis. The following are the key aspects of the solution include - The System should be developed using a spark job, reading the data from both sources based on an input date range. - The total record count would be compared and reported incase any mismatch. - A sampled set of data would be used to perform field level verification, comparing actual data that is stored in each DB for specific fields. - A metadata table has to be used to store information about MongoDB and Cassandra table names, field names and the date field on which query is to be performed. - An alert email has to be triggered to the admin in case of any mismatch providing details like date when the job ran, the table names, the date range on which verification was performed, sampling count used, No of records missing in Cassandra, field name details along with record id for which data mismatch was recorded.</p>
"
p162,Hyderabad,PHYGITAL,any open source BI tool.,"<p>Analytics helps make informed decisions, leads to new ideas, and unveils opportunities for growth. And as more organizations rely on their data for strategic decision-making, their ability to derive actionable insights from data will be fundamental to their success. So, how can organisations visualize its sales data to make key decisions and analyze performance?The answer: A sales dashboard. This project requires the creation of a real time sales dashboard that can analyze sales data and provide actionable insights dynamically. It should be able to read data from any database and should have integrated visualization capabilities to generate all desired reports.</p>
"
p163,Hyderabad,PHYGITAL,Cloud Concepts,"<p>With the advent of Cloud , more and more enterprises are giving up their traditional inhouse infrastructure setting and moving towards a centralized cloud environment. Such a shift requires tools that can facilitate this migration to cloud. The goal of this project is to develop tools/models that can migrate data objects to cloud. These tools should be able to move on-premise local data objects to a centralized cloud environment.</p>
"
p164,Hyderabad,PHYGITAL,"Machine Learning & Artificial Intelligence ,Analytical skills","<p>In recent years, Businesses have increasingly become reliant on cloud based storage solutions instead of in-house, on-premise local storage hardware. This is because cloud provides businesses with a safer and cost effective way to manage their enterprise data. Traditionally the cloud service providers followed a fixed pricing model but recently they have moved to pay per use basis. Such a pricing model allows businesses more cost savings given they are able to predict their future cloud infrastructure requirement. So The goal of this project is to develop a solution to predict cloud infrastructure requirement.This will involve analysing past cloud usage trends and then levearging ML algorithms to prepare a model to predict future cloud storage.</p>
"
p165,Hyderabad,PHYGITAL,Machine learning basics,"<p>Machine Learning algorithms are being rapidly employed in various industries to minimize human efforts in identifying a problem as well so to arrive at predictions/decisions for business implications. As rightly stated by many Machine Learning Experts, a best algorithm is deemed to be efficient only when we have the right data. Machine Learning bias is identified when an algorithm produces erroneous outputs due to many reasons; one of the prime reason being biased data used for training the model. So understanding and structuring the data before training is important so as the ensure that the bias is neither reflected nor intensified in the predictions made. Thus monitoring and auditing the model with real-time data is also crucial to determine any discriminating patterns in prediction and further to mark a model fair or not. UseCase: Driver drowsiness detection. A potential reason that a person driving a vehicle involves in an accident or encounter a collision is when he is drowsy. So identified the drowsiness and alerting or warning him at the earliest stage will help him to curb such situations. Possible bias: Dataset with: Only particular age group of people, People without spectacles People of a particular geographical location.</p>
"
p166,Bangalore,DIGITAL,automobile basics,"<p>Bots to emulate and integrate the actions of a human interacting within systems to execute a business process/ IT operations.Bots to utilize the user interface to capture data and manipulate applications just like humans do, interpret, trigger responses and communicate with other systems in order to perform on a vast variety of repetitive tasks. bots never sleeps, makes zero mistakes and costs a lot less than an employee This project requires understanding of process and various problems and to develop solution to reduce human intervention</p>
"
p167,Mumbai,DIGITAL,"Machine Learning,Artificial Intelligence techniques","<p>RPA/ChatBot project</p>
"
p169,Mumbai,DIGITAL,"NodeJS,Python","<p>Digital analytics on the Power-plant to provide value to the customer (i.e power-plant owner) Such as : -Alert reduction: Reduce the number of alert by find root cause of the issue. -Component Life-cycle: Component which need maintenance. -Etc This project is about providing support and development of common functionality across multiple, service specific teams. Consistent and fluent UI across applications and the portal. All applications work with Devops practices. Manage and pre-process the core data in cloud. Project Teams work in SAFe(scaled) agile way .</p>
"
p170,Pune,PHYGITAL,Good Programming Skills,"<p>In a large High Performance Computing (HPC) environment over subscription of resources leads to inefficient utilization of cluster, improper job scheduling and placements. This in turns reduces the throughput of the computing system and longer job wait times in queues. To overcome this problems it is desirable to estimate resource utilization for compute jobs in an intelligent manner for efficient scheduling. Project requires gathering of data from various schedulers, developing DNN and ML models for accurate prediction.</p>
"
p171,Pune,PHYGITAL,Good Programming Skills,"<p>Deep learning methods, specifically CNNs, are widely adopted in image analysis problems. Recent applications of CNNs in seismic data processing opens up new avenues of exploring seismic data analysis using deep neural networks. Seismic data analysis is extremly important for oil and gas exploration sector and involves huge time and expenses. In this project we explore applications of deep neural network in classification of seismic data.</p>
"
p172,Chennai,PHYGITAL,intend classification and image processing,"<p>Develop an application which can understand a user request and automatically make visual and textual content change in a generated report. This requires development of the following components: 1. Natural language to standard request format parser 2. Machine Learning model to decide the change required 3. Microsoft interface to change PPT and Word documents Changes would include, changing type of graph, Legends, add annotations, cosmetics and textual changes in the report.</p>
"
p173,Chennai,PHYGITAL,Good Programming Skills,"<p>A framework for existing applications to seamlessly connect with to enable conversational interface. It should support multiple business platforms and allow customization at project level. These chatbots could be used for process automation, error recovery, User request to process decision. The framework should provide repository for bots, common functions, domain specific knowledge base, data and knowledge asset, reusable models etc. The framework should follow pub-sub methods and REST based interfaces.</p>
"
p174,Chennai,PHYGITAL,Good Programming Skills,"<p>A generic solution to user usage pattern analysis of platforms/programs. The solution should be able to mine application data from various sources to - Identify how users use the respective applications - Proactively predict application load at various stages - Identify actual usecases used by each category of users - Identify &quot;new&quot; failure as against usecases identified</p>
"
p175,Chennai,PHYGITAL, Knowledge Graph ,"<p>&ldquo;Big data&rdquo; grows bigger every year. Today&rsquo;s enterprise leaders not only need to manage larger volumes of data, but they need to generate insight from their existing data. To paraphrase Seth Godin, &ldquo;businesses need to stop merely collecting data points, and start connecting them&rdquo;. In other words, the relationships between data points matter almost more than the individual points themselves. In order to leverage those data relationships, the organization needs a database technology that stores relationship information as a first-class entity . That technology is a graph database. Ironically, legacy relational database management systems (RDBMS) are poor at handling relationships between data points.Graphs DBs not only effectively store the relationships between data points, but they&rsquo;re also flexible in adding new kinds of relationships or adapting a data model to new business requirements.</p>
"
p176,Chennai,PHYGITAL,Good Programming Skills,"<p>Integration of ABC In-house ALM/DevOps product with third party test automation tools. To help in execution of the automation test cases from the ABC Product and store back the results Role : Developer</p>
"
p179,Pune,PHYGITAL,Good Programming Skills,"<p>Data is new currency. In current age, petabytes of personally identifiable data is being stored, accessed, transmitted using varied technologies. (cloud no-sql storages, Kafka, spark streams, new age RDBMs to list the few). Current anonymization methods have following short comings 1. Static, isolated, production replicas are pre-requisite, adding huge amount of extra infra even though storage is temporary. 2. It doubles up anonymization cycle time by adding extra hops for creating such production replicas. 3. New age data storage types like streaming, in-transit, unstructured data is not being supported for anonymization due to transient and free flowing nature of the data. 4. Adding time and infra burden by storing intermidiate masked data and then loading it to target.</p>
"
p180,Hyderabad,DIGITAL,"Java,SQL","<p>XYZ- Data Analysis is Data Pipeline platform for creating analytial data and also model devlopment product. It supports different Machine learning algorithms which are devloped in Java for model devlopment. The capability to add in house model for different Time series forcasting methods from exponenetial to ARIMA models.In brief Understanding the Machine Learning and Time series, Developing java based model for smoothing to forcasting and integrating in to platform. The Users can access &amp; execute the model with simple input parameters and model to provide model metrics and the user is able to forcast the new data from the model.</p>
"
p181,Chennai,PHYGITAL,"Angular JS,Spring Boot","<p>The candidate is reqiured to help XYZ team in building new capabilitites to enhance ABC Agile Product called XYZ. Candidate will be required to understand the Agile methodology and create new features using the latest technology like Bootstrap , Angular , SpringBoot and deploy the solutiuon on Azure Cloud. Candidate will have an end to end exposure of Java based develoment and deployment</p>
"
p182,Chennai,PHYGITAL,"Struts,Spring,Hibernate","<p>The project involves data collection of application portfolio, during the data collection the quality of data need to be reviewed and any deviation in the data quality fed in by the user need to be highlighted by looking at the existing data quality. The current challenge is that data quality plays major role in decision making during the portfolio analysis. Using Python / R the data patterns need to be scanned and highlighted to users the quality of data using a color range Red- Amber - Green in real time. Looking at the RAG status users will be prompted to correct their response in real time. Second Part of the project is to build the analytical rules for portfolio analysis by learning the existing rules and existing data set available. This learning will lead to continuous automated building of rules which will ensure that assessment outcomes based on previous experience and data through continuous learning.</p>
"
p183,Hyderabad,PHYGITAL,"Deep programming skills ,product configuration expereicne / exposure","<p>Duplicate Detection &amp; Deduplication Solution This solution is to increase/maintain good data quality by preventing duplicates in Dynamics CRM and easy auto clean-up. We can define advanced duplicate rules without limitations. Maintain good data quality, increase productivity, bulk merge existing duplicates by defining bulk merge rules and not one by one as in default duplicate tool. It can provide overview through better reporting capabilities of duplicates. We can also schedule bulk detection and bulk merge to run in background while you work on other tasks. Use Cases Some of the business cases are mentioned here: 1. The biggest challenge is to prevent users and integrations from creating duplicates, because OOB duplicate tool do not have the option to prevent users and integration from creating duplicates, it will give warning to users and that is it. 2. The standard merge would take longer time as it is manual process. Functional Requirements The tool should have following functionality: 1. A configuration page where we can configure the details like duplicate detection rule, criteria details, auto merge rule details and etc. 2. The tool should be able to generate the reports such as how many records are detected as duplicated ones during the given time period and how many records are auto merged during the given time period.</p>
"
p184,Hyderabad,PHYGITAL,"Deep programming skills ,product configuration expereicne / exposure. ","<p>Data Cascade Solution The proposed solution can be used in any of the project. In OOB, if 1:N relationship exists between the entities then parent record data can be copied to child record based on the field mapping at the time of child record creation. But updating of data in parent record will not reflect in child records. This can be achieved using Data Cascader component. Admin role user has to create the configuration details like parent and child entity, field mappings, etc. Use Cases Some of the business cases are mentioned here: 1. Some of the scenarios like Address is common in parent and child records, any specific fields which are common in parent and child records. Functional Requirements The tool should have following functionality: 1. The component should provide a screen in CRM to store all the configuration details like selection of two entities on which relationship already exists, then mapping fields from both entities to cascade the data. 2. The component should build up a logic automatically and can be able to perform data cascade based on the configuration details given in the above step. 3. The component should be able to support all the OOB entities and Custom entities as well.</p>
"
p186,Chennai,DIGITAL,Good Programming Skills,"<p>Choose any of the industry of your choice to demonstrate on how to create 3d illustration from existing engineering files. Use that content to train field workers on how it can be used for maintenace and repair work. It should contain the Step by Step Procedure for replacing parts and doing a service of particular equipment.</p>
"
p189,Gandhinagar,DIGITAL,"IoT,ML","<p>OCR technology can be used to convert a hard copy of a document into an electronic version (or soft copy). For example, if you scan a multipage document into a digital image, such as a TIFF file, you can load the document into an OCR program, which will recognize the text and convert the document to an editable text file. Some OCR programs allow you to scan a document and convert it to a word processing document in a single step.</p>
"
p190,Gandhinagar,DIGITAL,"Cognitive Services,IoT","<p>It is a chat bot to control smart homes and their appliances that accepts text and voice commands, parses them and takes action based on them. Ex- Monitoring home appliances and electricity consumption.</p>
"
p191,Gandhinagar,DIGITAL,"Charts,Power BI","<p>Using graphs, charts and Power BI create training regimens tailored to player&#39;s current level of physicality.</p>
"
p192,Chennai,PHYGITAL,Spark and Flink ,"<p>Talent Analytics is a key area in the Talent team. This internship is for candidates aspiring to work in Big Data and Spark. We deal with multiple aspects of Talent Data from various sources in the Enterprise Analytics stack. The ask is to Extract , Transform and Process the data from multiple sources to the required downstream systems.</p>
"
p193,Chennai,PHYGITAL,"Python,Java,Terraform,AzureCLI and bash scripting","<p>Talent Development team is re-skilling the organization in all the emerging digital competencies. The team also works on PoC and projects to implement emerging technologies for solving their current problems. This internship is aimed at working with Kubernetes to help scale virtual machines deployed for specific functionalities.</p>
"
p197,Bangalore,PHYGITAL,"Angular 6+,Java,Spring Boot","<p>Environment means &#39;set of VMs&#39; user for projet development or testing. The purpose of this project is to develop a Self Service Portal for environment booking and tracking. 1. We should able to track, which user is using which environment and how long they are using. 2. User should able to book, cancel and release the environment. The system internally maintains the environment details in database/files.</p>
"
p198,Kolkata,PHYGITAL,"Powershell,API","<p>Platform as a service (PaaS) is a deployment and development environment within the cloud that is designed to support the complete web application lifecycle of building, testing, deploying, managing, and updating. A complete platform is offered in PaaS in which the client can host their applications without the need to worry about the maintenance of the servers and its operating systems. Multiple custom in-house applications having web, mobile components are getting deployed using Azure DevOps solution and published into Azure PAAS platform.Customer is highly moving and future footprints will adopt the modernization of this architechture i.e. cloud-enabled enterprise application integrating devops practices with complete end to end automation on both designing cloud infra and building applications. It is highly demanding and needs competency in digital platform to successful delivery of the end products.</p>
"
p199,Kolkata,PHYGITAL,"Minimal Knowledge on Cloud Computing -Minimal Knowledge on Backup,restore and Storage -Minimal Knowledge on IT infrasrtucture/WAN/LAN/Storage/Servers","<p>For supporting customers IT infrastucture and day to day activities backup is one of the most important and demanding technology currently. Whether it is deletion of a simple file or corruption in the whole system user heavily depends upon backup and restore to eliminate their finacial loss. This project requires minimal knowledge on IT infrasturture assets such as server,OS,Database,Storage, Network . Also knowledge on Cloud computing(private/public),on premise,ITIL will be an advantage.</p>
"
p200,Kolkata,DIGITAL,"Java,Machine Learning,Python","<p>To build a Digitial Business Experience Monitoring system to build as one of the Platform as a service model on ABC cloud. This solution will help in monitoring various components of cloud resoruces such as application, DB, infra,network,security, logs etc. This solution will help customer to monitor and prevent failure and hence save cost and productivity.</p>
"
p201,Delhi,PHYGITAL,"Unity Pro,Autodesk Maya/Blender ,C#","<p>AR and VR are changing the learning paradigm. In corporate training, organizations are increasingly exploring immersive learning for training scenarios. AR combines the real and virtual worlds and overlays a layer of information on top of existing objects. Organizations now need to explore real-life applications of AR in corporate training.</p>
"
p203,Mumbai,PHYGITAL,Good Programming Skills,"<p>Application program interface (API) score board will reduce manual testing effort by validating API from documentation and design perspective. It will have scorecard engine to rate APIs with basic visualization. Design and development of services to validate and scope API along with landing page is developed and deployed on AWS cloud. Next step is design the rule engine to score APIs based on various rules.</p>
"
p204,Pune,PHYGITAL,Good Programming Skills,"<p>Mobile application development service industry is growing at faster pace. The credit for immense growth goes to mobile apps. Project is about creating an application using multiple mobile app development technologies and to check the similarities and differences that it creates on different mobile platforms The project requires design and development of a banking user profile creation app to showcase the variance of the outcome on various OS with different app development technologies . This solution will address how the different popular technologies can be competitive with respect to user experience and performance and then identify the best fit for the end users.</p>
"
p205,Pune,PHYGITAL,ML/DL,"<p>90% of all available data was generated in Last 2 years, that is how profound the explosion of data is across every aspect of life. Analytics and insights from data is driving new business models, agile and intelligent enterprises delivering superlative user experience. With availability of cheaper storage, compute capabilities, Artificial Intelligence/Machine Learning is transforming how we leverage the data we now access to real time. In this project we are looking to enable a (RM) of Ultra High Net worth Individual. RM should use AI/ML to transcribe discussion they are having with their customer in real time. Based on the data extracted from this discussion using NLP, the Model should give Next Best Action recommendation to RM about what should be the product he should recommend to this customer. Role of the engineer in this project is to design the architecture for this solution, develop design and study finalize how to implement in the lab scenario.</p>
"
p208,Chennai,PHYGITAL,Good coding skills,"<p>XYZ is an AI powered, on the cloud technology platform to design and create mass customized handloom silk fabrics. It applies all the TCS Business 4.0 themes to digitise the handloom industry at scale and make the profession viable for the skilled weavers. One of the critical components of the platform is a digital jacquard loom. It is a cyber-physical system that translates any textile design into hand-woven Jacquard fabrics.</p>
"
p211,Chennai,PHYGITAL,Good Programming Skills,"<p>Endoscopic Surgical Processes are to be very precise and should have no mistakes, thus can be a bit tough to get comfortable with in the first go. So performing a surgery directly on a person is really a difficult skill. Surgical simulation for Endoscopy is beneficial because it avoids the use of patients for skills practice and provides relevant technical training before the trainee surgeon operate on humans. Endoscopy is the insertion of a long, thin tube directly into the body to observe an internal organ or tissue in detail. It can also be used to carry out other tasks including imaging and minor surgery. Ensocopy can be of different types:-Gastrointestinal tract,Respiratory tract,Urinary tract etc. Project:- Virtual Reality Endoscopy simulator that would help the trainee doctor to practice and perform the Endoscopy surgery in an 3D Virtual environment. Software Developer : You should responsible for designing the architecture, develop 3D simulations, understand work along with the hardware engineer and integrate the haptic device with the software and able to demonstrate the project. Hardware Developer (Mechanical, ECE or Instrumentation engineer) :The role is to design, develop and fabricate a haptics device similar to the real endoscopy device which should work along with the 3D simulation software and able to provide required haptic feedback to the surgeon.</p>
"
